,scenario,julian,hour,Tpref_mean,Rabs_sun,Rabs_shade,Te_sun,Te_shade,Tb_sun,Tb_shade,activity_status_5C,activity_status_25C
0,TC_2021,1,0,34.1,225.62329979047806,230.67690909018526,11.598307760455631,13.874048472258341,8.714683322343005,9.99586879822732,0.0,0.0
1,TC_2021,1,1,34.1,229.75809170395377,232.2606377807074,12.926837687068245,14.041706853791178,11.086021571151619,12.273575097405145,0.0,0.0
2,MC_2021,1,0,34.1,212.27672188586018,221.5360265062684,7.213667744737847,11.594262863599598,6.246239937741023,8.712406145915777,0.0,0.0
3,MC_2021,1,1,34.1,211.42978066371936,219.6419968144292,6.94571601245525,10.861110639799334,6.640027588067213,9.922073387554343,0.0,0.0
4,LR_2021,1,0,34.1,202.82977740322855,205.23917470995704,2.5812325079333895,3.8402232108853545,3.585247142661638,4.32163900347745,0.0,0.0
5,LR_2021,1,1,34.1,201.52382854570084,204.84441771395208,1.887825909298697,3.635713590914613,2.5924144095099164,3.920436762862276,0.0,0.0
6,WC_2021,1,0,34.1,213.17814976638243,217.39629627402925,7.751887866066312,9.767874382433773,6.54924449300448,7.684194810917729,0.0,0.0
7,WC_2021,1,1,34.1,210.70550619824436,216.05314260090435,7.052711073334249,9.623787552924217,6.832683668199745,8.776137332006122,0.0,0.0
8,RP_2021,1,0,34.1,200.9982076123478,202.48117739480426,3.72462234156328,4.486137293435143,4.254023302207846,4.699438356610659,0.0,0.0
9,RP_2021,1,1,34.1,202.7720232640019,204.21565157430737,4.406288669560386,5.139857350407466,4.339744920721114,4.947383307118259,0.0,0.0
