datetime,julian,hour,Ta_shade,Ta_sun,Tg_avg,SOLR_wm2
1/1/20 0:00,1,0,1.569160008,-4.259097966,-0.721884499,0
1/1/20 1:00,1,1,1.195168407,-5.058796102,1.606933299,0
1/1/20 2:00,1,2,0.646587234,-6.35234432,1.403690378,0
1/1/20 3:00,1,3,-0.150094111,-7.689095344,1.172398115,0
1/1/20 4:00,1,4,-0.110400631,-7.874771692,1.066322409,0
1/1/20 5:00,1,5,-0.334580604,-7.978382996,0.922029703,0
1/1/20 6:00,1,6,-0.457315864,-7.993179695,0.819943543,0
1/1/20 7:00,1,7,-0.772133815,-8.080924347,0.700643011,0
1/1/20 8:00,1,8,-0.745090007,-7.321516165,0.655845876,28.94527572
1/1/20 9:00,1,9,1.159505919,-1.107000316,1.015609196,160.9077613
1/1/20 10:00,1,10,3.597901579,7.81938783,6.566952725,295.3271833
1/1/20 11:00,1,11,3.882258643,13.41366093,11.96954622,410.7202296
1/1/20 12:00,1,12,4.518600483,15.4197645,14.51185213,472.0762636
1/1/20 13:00,1,13,4.889352735,15.55013229,14.81501604,481.2513401
1/1/20 14:00,1,14,5.097330376,15.58665385,14.58393118,430.7453328
1/1/20 15:00,1,15,5.213758685,14.79655534,13.56981902,318.6170206
1/1/20 16:00,1,16,4.519288108,9.471559554,9.321150245,133.0712438
1/1/20 17:00,1,17,3.774641296,7.304975099,7.146861366,18.55794384
1/1/20 18:00,1,18,2.622279798,2.881807052,3.568276822,0
1/1/20 19:00,1,19,3.303333073,2.876282827,2.875879342,0
1/1/20 20:00,1,20,2.986816352,1.905733648,2.496078938,0
1/1/20 21:00,1,21,2.681029114,1.971084503,2.696793975,0
1/1/20 22:00,1,22,2.31352024,1.594018172,2.559881378,0
1/1/20 23:00,1,23,1.777376507,0.021367164,1.424198215,0
1/2/20 0:00,2,0,1.249693038,-1.218491924,0.283490159,0
1/2/20 1:00,2,1,0.92150934,-1.186879372,0.32217815,0
1/2/20 2:00,2,2,1.001525238,-0.29201332,0.968989546,0
1/2/20 3:00,2,3,0.243704045,-1.249171297,0.574366342,0
1/2/20 4:00,2,4,-0.07877243,-2.094776308,-0.189828649,0
1/2/20 5:00,2,5,-0.262896208,-2.672466676,-0.730783939,0
1/2/20 6:00,2,6,-0.719419686,-3.832300252,0.482743296,0
1/2/20 7:00,2,7,-1.176592592,-5.009315699,0.288900851,0
1/2/20 8:00,2,8,-1.08468107,-4.918430781,0.253589868,28.92186635
1/2/20 9:00,2,9,0.233561011,-0.858813862,0.313143698,162.2730352
1/2/20 10:00,2,10,0.100662114,2.937598454,4.320261526,297.620702
1/2/20 11:00,2,11,0.523679962,6.692216555,7.470172199,404.6042043
1/2/20 12:00,2,12,1.049522588,8.519727426,9.473020804,468.039947
1/2/20 13:00,2,13,1.483099106,8.403374806,9.37065276,459.86162
1/2/20 14:00,2,14,2.021610299,8.100360413,8.590721327,397.4763763
1/2/20 15:00,2,15,1.522202176,6.545221258,7.250298453,301.643705
1/2/20 16:00,2,16,1.0231993,3.988044924,4.619657677,134.7563157
1/2/20 17:00,2,17,0.635943014,2.494765418,3.044754157,20.14540893
1/2/20 18:00,2,18,-0.312927077,-0.818377682,-0.026441456,0
1/2/20 19:00,2,19,-1.367550247,-3.052187483,-1.441480892,0
1/2/20 20:00,2,20,-2.350170076,-5.08290994,-0.129708164,0
1/2/20 21:00,2,21,-2.552041929,-6.315648019,-0.30849844,0
1/2/20 22:00,2,22,-2.311399435,-6.95299349,-0.256125372,0
1/2/20 23:00,2,23,-2.468670707,-7.680017113,-0.198724429,0
1/3/20 0:00,3,0,-2.787839182,-8.061605165,-0.283386431,0
1/3/20 1:00,3,1,-2.926931805,-8.341502821,-0.358244206,0
1/3/20 2:00,3,2,-2.993393539,-8.536007539,-0.387335485,0
1/3/20 3:00,3,3,-3.474543075,-8.844198325,-0.45255728,0
1/3/20 4:00,3,4,-3.370623189,-8.47504056,-0.493959766,0
1/3/20 5:00,3,5,-3.240922657,-8.081440297,-0.472619512,0
1/3/20 6:00,3,6,-3.09482821,-7.985003918,0.100000001,0
1/3/20 7:00,3,7,-3.174492503,-8.344472648,0.100000001,0
1/3/20 8:00,3,8,-3.550643946,-7.808579396,0.100000001,29.12587555
1/3/20 9:00,3,9,-1.829600466,-2.647226242,0.100000001,165.0097252
1/3/20 10:00,3,10,-0.063465138,3.895265511,3.531266785,299.843274
1/3/20 11:00,3,11,0.847460269,8.585639278,7.900251972,416.7026238
1/3/20 12:00,3,12,1.823844029,12.39108312,11.18146833,478.5565049
1/3/20 13:00,3,13,3.264996044,15.20397847,13.21447676,488.6467422
1/3/20 14:00,3,14,3.914514605,15.28487569,13.38826503,438.8712811
1/3/20 15:00,3,15,3.68468187,13.63799873,12.00741533,324.2701783
1/3/20 16:00,3,16,3.226861828,9.367261097,8.40602452,138.1967694
1/3/20 17:00,3,17,1.956081704,5.181811093,5.882935269,20.54211222
1/3/20 18:00,3,18,0.615176195,0.499451975,0.782242344,0
1/3/20 19:00,3,19,-0.379544825,-1.714086151,-0.455822025,0
1/3/20 20:00,3,20,-1.283963005,-3.366349782,-1.527055996,0
1/3/20 21:00,3,21,-1.793161701,-4.594869155,-0.0399919,0
1/3/20 22:00,3,22,-0.384567257,-3.670698441,0.010138074,0
1/3/20 23:00,3,23,-0.75128226,-4.280816109,0.000486825,0
1/4/20 0:00,4,0,-1.177617595,-5.142517592,-3.08819384,0
1/4/20 1:00,4,1,-1.684491778,-5.947245502,-3.535589258,0
1/4/20 2:00,4,2,-2.049896363,-6.625359119,-3.983076672,0
1/4/20 3:00,4,3,-2.327319506,-7.166865536,-4.370463485,0
1/4/20 4:00,4,4,-2.468583597,-7.509995055,-4.671299069,0
1/4/20 5:00,4,5,-2.51888342,-7.59925878,-4.798231052,0
1/4/20 6:00,4,6,-2.619199003,-7.645984686,-4.902868099,0
1/4/20 7:00,4,7,-2.580921017,-7.133949535,-4.57568991,0
1/4/20 8:00,4,8,-2.608778848,-6.190982511,-3.272366705,28.65509012
1/4/20 9:00,4,9,-0.045430849,-0.320383954,-0.608050441,164.7036473
1/4/20 10:00,4,10,2.5445827,7.399529595,5.147432663,300.3473681
1/4/20 11:00,4,11,2.795974093,12.65780302,10.5162195,416.6500934
1/4/20 12:00,4,12,4.621593567,18.28761144,14.64650125,473.8857504
1/4/20 13:00,4,13,5.970527963,22.18612283,17.48442381,486.4461838
1/4/20 14:00,4,14,7.131559118,23.66708538,18.61161793,442.8060744
1/4/20 15:00,4,15,7.249823579,19.94308845,16.11712312,329.3880258
1/4/20 16:00,4,16,6.522929776,12.77849561,10.17290049,140.8852395
1/4/20 17:00,4,17,5.769750043,9.080498636,7.074273039,21.23429241
1/4/20 18:00,4,18,3.442432382,3.781750011,2.570269502,0
1/4/20 19:00,4,19,2.115683571,1.255900007,1.200961325,0
1/4/20 20:00,4,20,2.381192724,0.980368509,0.668641501,0
1/4/20 21:00,4,21,1.922312121,0.292996063,0.532863253,0
1/4/20 22:00,4,22,1.436891367,-0.582710717,0.085051422,0
1/4/20 23:00,4,23,0.817544551,-1.418536861,-0.358801266,0
1/5/20 0:00,5,0,0.238717446,-2.582313415,-1.079167106,0
1/5/20 1:00,5,1,-0.116317332,-3.169866462,0.457768816,0
1/5/20 2:00,5,2,-2.010450097,-6.021803751,0.174399058,0
1/5/20 3:00,5,3,-2.480081679,-7.291824054,-0.1088195,0
1/5/20 4:00,5,4,-2.844985918,-8.042334927,-0.270673011,0
1/5/20 5:00,5,5,-3.237765767,-8.646491658,-0.411088062,0
1/5/20 6:00,5,6,-3.293991054,-8.739593999,-0.520946385,0
1/5/20 7:00,5,7,-3.564364604,-8.941173463,0.100000001,0
1/5/20 8:00,5,8,-3.526552943,-8.186223367,0.100000001,29.23809583
1/5/20 9:00,5,9,-1.614294873,-2.867633801,0.100000001,169.2510549
1/5/20 10:00,5,10,2.241990616,6.238092026,3.864217663,306.5259868
1/5/20 11:00,5,11,3.991187163,12.8353588,9.308657951,428.0508702
1/5/20 12:00,5,12,5.427194055,17.66670527,13.27778661,493.9018189
1/5/20 13:00,5,13,6.356276288,19.45932187,15.20468531,505.2535908
1/5/20 14:00,5,14,7.239678393,19.37758478,15.14716236,455.1716083
1/5/20 15:00,5,15,7.260198456,16.80942439,13.07183005,337.827536
1/5/20 16:00,5,16,6.541331385,12.68819358,9.356035623,145.2864712
1/5/20 17:00,5,17,6.104274225,10.31535116,7.160760958,22.64745036
1/5/20 18:00,5,18,4.67701439,5.429968076,3.513177164,0
1/5/20 19:00,5,19,2.979962823,2.043948194,1.44610062,0
1/5/20 20:00,5,20,2.355938185,0.663065705,0.642296359,0
1/5/20 21:00,5,21,2.012857952,-0.082245169,0.251680413,0
1/5/20 22:00,5,22,1.573971119,-0.878458915,-0.156677051,0
1/5/20 23:00,5,23,1.12011696,-1.740650733,-0.6078737,0
1/6/20 0:00,6,0,1.898913372,-1.143975614,-0.832494407,0
1/6/20 1:00,6,1,1.627959781,-1.172027832,0.701884575,0
