"","datetime","doy","hour","Ta_shade","Ta_sun","Tg_avg","SOLR_wm2"
"c.0..5.10907035114417.",2020-12-31 17:00:00,366,17,0.888942533627429,1.05802152548877,2.55453517557208,5.93093227960381
"c.0.100000001490116...1.98261117148265.",2020-12-31 18:00:00,366,18,-0.52291448318426,-0.517988489440513,-0.941305584996269,0
"c.0.100000001490116...3.06015028879626.",2020-12-31 19:00:00,366,19,-2.18874390051243,-2.21783751750996,-1.48007514365307,0
"c.0.100000001490116...3.54997954560984.",2020-12-31 20:00:00,366,20,-2.27558876760501,-2.37497083166868,-1.72498977205986,0
"c.0.100000001490116..0.100000001490116.",2020-12-31 21:00:00,366,21,-2.65593325282012,-2.82289162204457,0.100000001490116,0
"c.0.100000001490116..0.100000001490116..1",2020-12-31 22:00:00,366,22,-4.48475724261425,-4.65339919397496,0.100000001490116,0
"c.0.100000001490116..0.100000001490116..2",2020-12-31 23:00:00,366,23,-6.10369312368743,-6.22039712947469,0.100000001490116,0
"c.0.100000001490116..0.100000001490116..3",2021-01-01 00:00:00,1,0,-5.74595123578375,-5.81802267489996,0.100000001490116,0
"c.0.100000001490116..0.100000001490116..4",2021-01-01 01:00:00,1,1,-5.19048741334264,-5.25971819594906,0.100000001490116,0
"c.0.100000001490116..0.100000001490116..5",2021-01-01 02:00:00,1,2,-5.65422906306392,-5.75229591727228,0.100000001490116,0
"c.0.100000001490116..0.100000001490116..6",2021-01-01 03:00:00,1,3,-5.96549829673959,-6.0695077403382,0.100000001490116,0
"c.0.100000001490116..0.100000001490116..7",2021-01-01 04:00:00,1,4,-6.26567116685381,-6.36029020831758,0.100000001490116,0
"c.0.100000001490116..0.100000001490116..8",2021-01-01 05:00:00,1,5,-6.49079383008953,-6.55559963894347,0.100000001490116,0
"c.0.100000001490116..0.100000001490116..9",2021-01-01 06:00:00,1,6,-6.16784700683968,-6.20129026321354,0.100000001490116,0
"c.0.100000001490116..0.100000001490116..10",2021-01-01 07:00:00,1,7,-6.17280581991172,-6.23332799894427,0.100000001490116,0
"c.0.100000001490116..0.100000001490116..11",2021-01-01 08:00:00,1,8,-5.89802797756272,-5.85417630906734,0.100000001490116,36.3306787162671
"c.0.100000001490116...0.615088066110029.",2021-01-01 09:00:00,1,9,-3.70171001414291,-3.40385726365673,-0.257544032309956,248.194135483591
"c.0.100000001490116..5.1074487849462.",2021-01-01 10:00:00,1,10,-1.36550152617844,-0.634126454466959,2.60372439321816,412.211760260703
"c.0.100000001490116..6.61503225684753.",2021-01-01 11:00:00,1,11,-0.128418205756243,0.596394368829189,3.35751612916882,552.953990568333
"c.0.100000001490116..6.03294736642465.",2021-01-01 12:00:00,1,12,0.43456533183707,1.02146166425497,3.06647368395738,597.874591208986
"c.0.100000001490116..6.22825908632801.",2021-01-01 13:00:00,1,13,1.54964405904368,2.17451876767478,3.16412954390906,549.235435689542
"c.0.100000001490116..4.79052052492423.",2021-01-01 14:00:00,1,14,2.38781878129245,2.8735312548409,2.44526026320717,457.649630460878
"c.0.100000001490116..3.25283409229975.",2021-01-01 15:00:00,1,15,2.24189878322526,2.64254912449606,1.67641704689493,313.075953023087
