datetime,julian,hour,Ta_shade,Ta_sun,Tg_avg,SOLR_wm2
1/1/20 0:00,1,0,2.685234659,-2.429407537,0.023918782,0
1/1/20 1:00,1,1,2.140550851,-2.917286404,-0.525482022,0
1/1/20 2:00,1,2,1.909788208,-3.403625146,-0.833433897,0
1/1/20 3:00,1,3,1.822774864,-4.052742815,-1.131725438,0
1/1/20 4:00,1,4,2.49739058,-3.333611378,-1.110207996,0
1/1/20 5:00,1,5,2.663223436,-3.120464957,-0.825938408,0
1/1/20 6:00,1,6,2.774894645,-2.822063858,-0.765093407,0
1/1/20 7:00,1,7,2.573931569,-2.943999017,-0.764413394,0
1/1/20 8:00,1,8,2.402635634,-2.116673753,0.048093843,37.5704905
1/1/20 9:00,1,9,3.896436074,3.888775504,4.126155346,184.8043
1/1/20 10:00,1,10,6.273195222,10.57759179,8.917830378,360.0790213
1/1/20 11:00,1,11,6.129483723,16.33481382,14.00075844,480.9241015
1/1/20 12:00,1,12,7.223257107,19.9296183,17.69652703,534.7817718
1/1/20 13:00,1,13,7.729045878,18.80654523,17.17080356,529.6239493
1/1/20 14:00,1,14,7.789685906,15.75240427,14.4482176,457.2756827
1/1/20 15:00,1,15,7.321171048,14.8624414,13.09341437,328.0949934
1/1/20 16:00,1,16,7.084977997,11.29363956,9.810545373,134.2130199
1/1/20 17:00,1,17,6.336919107,9.40000495,8.089195919,13.54585907
1/1/20 18:00,1,18,5.181531463,5.910146703,5.326279827,0
1/1/20 19:00,1,19,4.381974305,4.856552946,4.7405018,0
1/1/20 20:00,1,20,4.779114299,5.597095111,4.981240973,0
1/1/20 21:00,1,21,5.035320152,5.997909814,5.376133949,0
1/1/20 22:00,1,22,5.432347303,6.532915459,5.763038982,0
1/1/20 23:00,1,23,5.291069127,6.232390273,5.717447309,0
1/2/20 0:00,2,0,4.830291323,5.351199456,5.045189061,0
1/2/20 1:00,2,1,4.718602389,4.495603263,4.52455831,0
1/2/20 2:00,2,2,3.974898353,3.824184489,4.252156744,0
1/2/20 3:00,2,3,3.905583781,4.1162471,4.217214802,0
1/2/20 4:00,2,4,3.290756313,3.210647584,3.724450688,0
1/2/20 5:00,2,5,3.336318278,3.480869128,3.923503255,0
1/2/20 6:00,2,6,3.308280696,3.315130806,3.798181814,0
1/2/20 7:00,2,7,2.982546334,2.686327757,3.28924536,0
1/2/20 8:00,2,8,3.032981728,2.884151122,3.366692856,34.62730016
