"","datetime","doy","hour","Ta_shade","Ta_sun","Tg_avg","SOLR_wm2"
"c.8.27951124005553..10.79765215907.",2020-12-31 17:00:00,366,17,4.94044614946402,5.18808847825872,9.53858169956276,5.567369196983
"c..0.158065421313914..0.016671848223752.",2020-12-31 18:00:00,366,18,3.3629859368494,3.3789185564211,-0.070696786545081,0
"c..0.647068916498711...0.0911414315655376.",2020-12-31 19:00:00,366,19,1.6000079753903,1.6730533669067,-0.369105174032124,0
"c..0.371318379256431..0.136407678143477.",2020-12-31 20:00:00,366,20,1.55532877681082,1.62411941713804,-0.117455350556477,0
"c..0.226252382257559..0.0405136059964731.",2020-12-31 21:00:00,366,21,4.07345096134343,4.10689919721844,-0.0928693881305429,0
"c..0.394776762597115...0.730620327162258.",2020-12-31 22:00:00,366,22,2.39881729644718,2.35747593764349,-0.562698544879686,0
"c..1.36967835367848...0.928977863386231.",2020-12-31 23:00:00,366,23,0.859181662135216,0.911704545494238,-1.14932810853236,0
"c..1.50758841028847...0.535485974604452.",2021-01-01 00:00:00,1,0,1.20676566739196,1.32038982557014,-1.02153719244646,0
"c..1.52538910833179...0.156731097104777.",2021-01-01 01:00:00,1,1,1.47677881083825,1.6437986054005,-0.841060102718285,0
"c..1.31127965063195...0.599269168625699.",2021-01-01 02:00:00,1,2,0.992058899459717,1.07718977523258,-0.955274409628825,0
"c..1.17225306430081...0.481718729447187.",2021-01-01 03:00:00,1,3,0.636366335419126,0.727370734048751,-0.826985896873999,0
"c..0.957923276351274...0.106159821476973.",2021-01-01 04:00:00,1,4,0.364784663759029,0.485033857257485,-0.532041548914123,0
"c..0.865332565095319..0.352226923059334.",2021-01-01 05:00:00,1,5,0.193682869166999,0.365671280243739,-0.256552821017992,0
"c..0.898905594199242..0.406711631818015.",2021-01-01 06:00:00,1,6,0.520552455730165,0.695999792029462,-0.246096981190614,0
"c..1.18516096874756...0.0274643318433001.",2021-01-01 07:00:00,1,7,0.405942783547973,0.545146860309711,-0.606312650295431,0
"c..1.30502810932617..0.1928893960359.",2021-01-01 08:00:00,1,8,0.586774421789487,0.769633980652806,-0.556069356645136,29.3310833150155
"c..0.139646146039914..3.51580186152744.",2021-01-01 09:00:00,1,9,2.2889434692844,2.72580431313935,1.68807785774376,167.19440810663
"c.1.58030050931274..9.69995711136048.",2021-01-01 10:00:00,1,10,4.70645108744483,5.81628325597941,5.64012881033661,333.415960924131
"c.2.90186012988012..15.4645890455796.",2021-01-01 11:00:00,1,11,6.05253749307315,7.82710687224465,9.18322458772986,467.193831520984
